,findings_start_date,case_id,st_cd,industry,Length_alleged_violtn,Number_farm,Avg_farm_size,Num_task_forces,Fatal_rate,poverty_rate,num_establishments_Fewer_20employees,Avg_net_farm_income,labor_intensity,min_wage_federal,min_wage_min,min_wage_max,h2a_violtn_cnt
7663,2017-05-22,1824493,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,15.0,47600.0,201.0,2.0,3.3,13.7,4096.0,64394.93697478991,0,8.1,8.1,8.1,0
7664,2015-09-14,1832410,OH,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",727.0,74400.0,188.0,0.0,3.9,13.6,1344.0,16676.84139784946,1,8.1,7.25,8.1,4
7665,2015-03-07,1796751,NE,SUPPORT ACTIVITIES FOR CROP PRODUCTION,634.0,48700.0,928.0,1.0,5.4,10.3,1957.0,99175.50308008214,0,8.0,8.0,8.0,115
7666,2015-03-01,1796786,TX,VEGETABLE AND MELON FARMING,500.0,242000.0,537.0,1.0,4.5,14.7,9367.0,24927.15702479339,1,7.25,7.25,7.25,3
7667,2014-09-15,1796845,AR,VEGETABLE AND MELON FARMING,730.0,44000.0,314.0,0.0,5.7,18.4,1926.0,47947.13636363636,1,7.25,6.25,6.25,1
7668,2015-07-20,1821033,WV,VEGETABLE AND MELON FARMING,727.0,20900.0,172.0,0.0,5.0,14.5,409.0,3711.0526315789475,1,8.0,8.0,8.0,0
7669,2017-06-11,1826631,GA,VEGETABLE AND MELON FARMING,19.0,42400.0,227.0,0.0,4.1,13.3,2097.0,63968.160377358494,1,7.25,5.15,5.15,0
7670,2015-05-24,1813825,MS,VEGETABLE AND MELON FARMING,727.0,36700.0,294.0,0.0,6.8,19.1,1633.0,21356.485013623977,1,7.25,7.25,7.25,564
7671,2016-06-05,1823735,TN,OTHER CROP FARMING,369.0,66600.0,162.0,0.0,4.3,14.9,791.0,3175.135135135135,0,7.25,7.25,7.25,0
7672,2015-06-04,1823737,TN,OTHER CROP FARMING,728.0,67300.0,162.0,0.0,3.7,14.7,745.0,10691.188707280831,0,7.25,7.25,7.25,1
7673,2015-06-06,1823750,TN,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",730.0,67300.0,162.0,0.0,3.7,14.7,745.0,10691.188707280831,1,7.25,7.25,7.25,0
7674,2015-06-04,1823754,TN,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",729.0,67300.0,162.0,0.0,3.7,14.7,745.0,10691.188707280831,1,7.25,7.25,7.25,0
7675,2015-06-07,1823759,TN,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",730.0,67300.0,162.0,0.0,3.7,14.7,745.0,10691.188707280831,1,7.25,7.25,7.25,0
7676,2017-05-09,1830743,IN,VEGETABLE AND MELON FARMING,104.0,56600.0,259.0,0.0,4.5,11.4,1714.0,29398.074204947,1,7.25,7.25,7.25,0
7677,2017-01-01,1826381,GA,VEGETABLE AND MELON FARMING,195.0,42400.0,227.0,0.0,4.1,13.3,2097.0,63968.160377358494,1,7.25,5.15,5.15,0
7678,2012-06-01,1664194,FL,FRUIT AND TREE NUT FARMING,49.0,47500.0,200.0,0.0,2.7,15.3,3952.0,61322.77894736842,1,7.67,7.67,7.67,0
7679,2012-06-16,1658286,NJ,FRUIT AND TREE NUT FARMING,14.0,10200.0,79.0,0.0,2.4,9.3,891.0,35726.56862745098,1,7.25,7.25,7.25,0
7680,2012-06-08,1659850,NJ,FRUIT AND TREE NUT FARMING,10.0,10200.0,79.0,0.0,2.4,9.3,891.0,35726.56862745098,1,7.25,7.25,7.25,0
7681,2010-08-01,1593353,CA,FRUIT AND TREE NUT FARMING,18.0,81700.0,312.0,1.0,2.1,16.3,14176.0,133208.29865361078,1,8.0,8.0,8.0,0
7682,2010-01-01,1593399,CA,OTHER CROP FARMING,229.0,81700.0,312.0,1.0,2.1,16.3,14176.0,133208.29865361078,0,8.0,8.0,8.0,0
7683,2013-06-15,1705068,NC,OTHER CROP FARMING,76.0,50000.0,168.0,0.0,2.5,14.7,2803.0,68519.38,0,7.25,7.25,7.25,0
7684,2015-01-01,1760307,CA,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",161.0,77400.0,329.0,3.0,2.2,13.9,13367.0,215989.37984496122,1,9.0,9.0,9.0,0
7685,2010-11-14,1677773,KS,OILSEED AND GRAIN FARMING,727.0,65500.0,704.0,0.0,6.5,14.5,1086.0,49720.87022900763,0,7.25,7.25,7.25,0
7686,2011-02-01,1612683,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,45.0,47500.0,195.0,0.0,2.9,14.9,3950.0,49330.6947368421,0,7.25,7.25,7.25,0
7687,2011-01-01,1627471,NC,VEGETABLE AND MELON FARMING,227.0,50400.0,169.0,0.0,3.7,15.4,2772.0,49895.29761904762,1,7.25,7.25,7.25,0
